inspection_date,vehicle_id,vehicle_age_years,mileage_km,service_gap_months,brake_wear_percent,engine_alerts_90d,vibration_index,battery_voltage,avg_engine_temp_c,prior_failures,harsh_braking_events_30d,failure_probability_hidden,failure_next_30_days
2024-01-08 00:00:00,VH-0028,6.27,85464,5.12,46.31,3,3.22,13.26,98.86,0,8,0.0081,0
2024-01-08 06:00:00,VH-0029,6.32,76134,10.11,52.09,3,3.77,12.14,100.5,0,7,0.0138,0
2024-01-08 12:00:00,VH-0030,10.77,156573,7.55,50.49,1,5.63,11.86,92.36,1,6,0.4526,1
2024-01-08 18:00:00,VH-0031,4.14,80577,3.29,24.3,3,4.17,12.96,92.49,2,7,0.0184,0
2024-01-09 00:00:00,VH-0032,3.87,57158,10.19,36.21,1,4.17,12.84,93.37,2,6,0.0736,0
2024-01-09 06:00:00,VH-0033,3.08,50983,1.17,38.72,1,5.38,12.51,94.94,0,5,0.002,0
2024-01-09 12:00:00,VH-0034,6.8,114468,9.7,66.9,2,5.49,12.52,87.78,2,7,0.4449,0
2024-01-09 18:00:00,VH-0035,8.14,122141,7.87,49.34,3,4.63,13.27,95.69,1,7,0.1374,0
2024-01-10 00:00:00,VH-0036,4.9,70083,3.55,42.22,3,4.38,12.65,93.12,0,7,0.0291,0
2024-01-10 06:00:00,VH-0037,3.02,47898,2.25,34.88,1,4.44,13.09,89.52,0,6,0.0023,0
2024-01-10 12:00:00,VH-0038,3.06,30673,3.81,26.01,1,4.36,13.27,88.12,0,9,0.0008,0
2024-01-10 18:00:00,VH-0039,6.89,105504,3.09,50.1,1,4.57,13.39,88.56,1,9,0.1041,0
2024-01-11 00:00:00,VH-0040,7.13,145081,4.52,53.08,2,5.53,12.55,99.84,0,3,0.077,0
2024-01-11 06:00:00,VH-0041,6.61,93352,4.13,50.53,1,4.78,12.94,89.97,0,7,0.0067,0
2024-01-11 12:00:00,VH-0042,3.47,30492,3.55,29.87,2,3.81,12.43,98.42,0,8,0.0057,0
2024-01-11 18:00:00,VH-0043,5.8,64908,1.12,33.0,0,3.32,12.63,90.31,0,7,0.0022,0
2024-01-12 00:00:00,VH-0044,5.5,89552,1.97,53.97,0,4.94,12.46,84.81,0,3,0.0088,0
2024-01-12 06:00:00,VH-0045,5.77,77720,11.27,54.62,0,4.36,11.71,91.13,1,11,0.1521,0
2024-01-12 12:00:00,VH-0046,7.47,125202,3.64,65.25,0,2.51,11.9,83.32,2,6,0.0636,0
2024-01-12 18:00:00,VH-0047,5.78,86584,4.59,32.55,1,3.52,12.69,94.19,1,10,0.0262,0
2024-01-13 00:00:00,VH-0048,6.97,123950,3.96,57.93,1,4.28,12.64,90.5,0,6,0.0338,0
2024-01-13 06:00:00,VH-0049,5.38,95655,13.93,36.95,0,4.06,11.96,94.31,0,15,0.0937,0
2024-01-13 12:00:00,VH-0050,5.95,94525,3.03,48.7,0,5.45,13.11,97.89,0,11,0.0026,0
2024-01-13 18:00:00,VH-0051,6.84,79612,2.85,31.99,0,7.29,12.13,82.97,2,5,0.0134,0
2024-01-14 00:00:00,VH-0052,1.41,6504,7.99,35.36,0,0.81,12.81,86.1,0,7,0.0005,0
2024-01-14 06:00:00,VH-0053,4.37,80425,6.35,52.53,0,4.4,12.43,84.15,3,6,0.071,0
2024-01-14 12:00:00,VH-0054,3.98,52314,8.14,48.18,2,4.21,12.6,103.7,0,7,0.0166,0
2024-01-14 18:00:00,VH-0055,3.54,47044,7.79,45.32,0,3.54,12.91,87.57,0,13,0.0026,0
2024-01-15 00:00:00,VH-0056,4.48,55243,10.36,32.02,2,4.72,12.74,86.58,0,10,0.0267,0
2024-01-15 06:00:00,VH-0057,9.09,111512,1.74,47.74,5,5.49,12.66,108.95,0,5,0.0644,0
2024-01-15 12:00:00,VH-0058,2.95,35700,7.47,50.06,2,3.6,12.84,88.97,3,11,0.0182,0
2024-01-15 18:00:00,VH-0059,7.72,115722,2.86,52.18,1,4.7,12.02,83.64,0,8,0.0076,0
2024-01-16 00:00:00,VH-0060,0.82,9698,0.78,4.78,1,4.04,13.33,85.63,0,4,0.0001,0
2024-01-16 06:00:00,VH-0061,4.33,57096,7.76,47.93,1,4.48,12.18,92.35,1,13,0.041,0
2024-01-16 12:00:00,VH-0062,5.62,117683,7.45,56.5,1,4.88,12.44,92.07,2,9,0.2829,1
2024-01-16 18:00:00,VH-0063,6.72,104858,5.47,68.84,2,4.14,12.34,88.69,0,7,0.0699,0
2024-01-17 00:00:00,VH-0064,7.05,111887,10.48,55.88,1,7.44,12.44,90.7,1,8,0.09,0
2024-01-17 06:00:00,VH-0065,7.26,108568,2.88,51.69,0,4.77,12.32,90.65,1,9,0.0789,0
2024-01-17 12:00:00,VH-0066,4.29,70802,8.64,58.44,1,4.93,12.47,98.48,2,8,0.1446,0
2024-01-17 18:00:00,VH-0067,4.0,68793,4.9,21.04,2,3.82,13.2,94.37,0,6,0.0037,0
2024-01-18 00:00:00,VH-0068,7.43,135947,5.19,53.46,6,5.98,11.97,96.57,1,9,0.5559,0
2024-01-18 06:00:00,VH-0069,4.7,49580,0.92,22.85,0,3.93,12.69,88.82,2,7,0.0024,0
2024-01-18 12:00:00,VH-0070,1.88,21596,10.55,2.0,1,1.71,12.23,94.1,0,5,0.0027,0
2024-01-18 18:00:00,VH-0071,2.25,21856,7.25,35.31,1,2.91,12.92,99.25,0,11,0.0009,0
2024-01-19 00:00:00,VH-0072,2.81,36861,8.41,22.83,2,3.23,12.37,86.89,0,9,0.0163,0
2024-01-19 06:00:00,VH-0073,6.49,109263,2.55,63.01,0,3.81,12.56,95.48,0,6,0.0124,0
2024-01-19 12:00:00,VH-0074,5.57,99138,6.68,53.65,3,3.77,12.04,92.52,0,10,0.0747,0
2024-01-19 18:00:00,VH-0075,7.0,63106,4.89,45.01,3,4.49,12.91,86.32,0,11,0.0343,0
2024-01-20 00:00:00,VH-0076,4.09,77701,7.52,36.82,1,5.64,12.59,83.11,1,4,0.0193,0
2024-01-20 06:00:00,VH-0077,5.61,49121,6.46,24.18,1,4.06,12.55,98.1,0,6,0.0185,0
2024-01-20 12:00:00,VH-0078,6.83,95968,15.69,49.07,3,3.63,12.49,101.28,0,12,0.1664,0
2024-01-20 18:00:00,VH-0079,4.4,62212,12.67,48.47,2,3.22,11.98,89.56,1,9,0.0562,0
2024-01-21 00:00:00,VH-0080,6.39,77861,4.48,41.73,3,4.23,12.29,93.25,0,8,0.0301,0
2024-01-21 06:00:00,VH-0081,3.48,20976,7.75,16.13,2,2.38,12.66,83.08,2,3,0.0035,0
2024-01-21 12:00:00,VH-0082,4.26,67413,4.2,24.68,1,4.43,12.02,95.43,1,4,0.0078,0
2024-01-21 18:00:00,VH-0083,4.21,45602,10.3,34.7,4,5.78,11.91,96.35,0,9,0.1399,0
2024-01-22 00:00:00,VH-0084,2.09,18199,5.05,17.04,2,3.19,12.46,84.63,0,2,0.0028,0
2024-01-22 06:00:00,VH-0085,6.47,93358,3.77,46.31,0,4.31,12.12,91.18,3,8,0.0886,0
2024-01-22 12:00:00,VH-0086,3.98,53142,6.61,31.74,2,3.72,12.48,85.71,1,10,0.0088,0
2024-01-22 18:00:00,VH-0087,5.23,70431,12.04,34.68,1,3.53,12.57,93.95,0,8,0.0184,0
2024-01-23 00:00:00,VH-0088,6.45,112317,10.83,56.62,2,5.0,12.6,87.88,1,13,0.1444,0
2024-01-23 06:00:00,VH-0089,6.36,101479,3.94,56.37,1,3.84,13.15,93.01,0,9,0.0108,0
2024-01-23 12:00:00,VH-0090,6.93,123906,14.82,80.3,2,4.13,12.21,89.6,1,7,0.4334,1
2024-01-23 18:00:00,VH-0091,4.94,51863,2.69,43.3,3,2.7,12.69,81.72,1,3,0.0047,0
2024-01-24 00:00:00,VH-0092,4.1,66033,3.41,57.76,0,4.0,12.66,94.98,0,11,0.0029,0
2024-01-24 06:00:00,VH-0093,4.99,57937,10.02,26.28,2,5.27,12.56,98.69,1,4,0.0158,0
2024-01-24 12:00:00,VH-0094,0.81,19679,0.79,4.94,2,4.49,13.07,90.43,1,7,0.0027,0
2024-01-24 18:00:00,VH-0095,1.44,25923,5.64,25.93,1,5.16,13.1,93.35,1,9,0.011,0
2024-01-25 00:00:00,VH-0096,1.76,40302,4.47,40.89,1,3.15,13.1,93.17,0,9,0.0009,0
2024-01-25 06:00:00,VH-0097,2.61,25940,15.37,34.52,2,4.7,12.64,95.5,0,9,0.0787,0
2024-01-25 12:00:00,VH-0098,6.24,130861,2.29,73.43,0,3.55,13.1,98.4,2,10,0.0551,0
2024-01-25 18:00:00,VH-0099,2.85,45074,2.51,2.0,0,4.41,12.78,92.29,0,8,0.0002,0
2024-01-26 00:00:00,VH-0100,4.22,47511,16.72,47.88,4,6.09,12.11,94.86,1,12,0.4091,1
2024-01-26 06:00:00,VH-0101,8.58,106805,4.51,55.4,2,5.25,12.22,95.56,2,7,0.2262,1
2024-01-26 12:00:00,VH-0102,4.27,65276,11.73,19.87,3,6.13,12.41,93.11,1,5,0.1793,0
2024-01-26 18:00:00,VH-0103,7.12,137616,3.97,69.69,3,4.67,12.09,89.21,0,4,0.1332,0
2024-01-27 00:00:00,VH-0104,2.77,42479,3.3,33.31,0,3.54,12.54,95.87,0,10,0.0013,0
2024-01-27 06:00:00,VH-0105,4.67,69747,12.11,44.37,2,3.42,12.02,95.18,1,7,0.1485,0
2024-01-27 12:00:00,VH-0106,2.73,42400,19.31,43.24,1,3.89,12.47,82.03,1,8,0.1083,0
2024-01-27 18:00:00,VH-0107,4.32,86055,12.72,50.06,3,4.97,12.55,91.26,1,3,0.1281,0
2024-01-28 00:00:00,VH-0108,7.38,94944,3.78,30.0,1,4.46,11.84,95.42,0,5,0.0269,0
2024-01-28 06:00:00,VH-0109,0.71,3000,5.46,17.22,0,2.76,12.59,81.56,0,8,0.0006,0
2024-01-28 12:00:00,VH-0110,6.33,93036,2.61,27.66,1,3.92,13.19,87.6,0,7,0.0042,0
2024-01-28 18:00:00,VH-0111,5.82,100114,3.0,57.07,2,5.02,12.8,106.62,1,5,0.0274,0
2024-01-29 00:00:00,VH-0112,3.66,69080,2.87,56.36,0,3.81,12.87,88.25,0,11,0.0026,0
2024-01-29 06:00:00,VH-0113,1.44,17379,4.05,8.53,1,2.42,12.58,96.02,1,0,0.0022,0
2024-01-29 12:00:00,VH-0114,5.39,85938,6.11,36.8,1,2.44,12.62,98.12,0,6,0.0053,0
2024-01-29 18:00:00,VH-0115,3.82,75664,5.63,31.06,0,3.45,12.62,85.18,2,8,0.0101,0
2024-01-30 00:00:00,VH-0116,5.8,62673,9.08,32.14,1,2.69,12.15,92.08,0,7,0.0054,0
2024-01-30 06:00:00,VH-0117,5.26,64057,6.34,42.97,1,3.26,12.35,101.32,1,5,0.0284,0
2024-01-30 12:00:00,VH-0118,9.36,112144,8.51,47.73,2,4.38,12.06,95.29,0,8,0.0502,0
2024-01-30 18:00:00,VH-0119,4.58,48154,9.43,40.88,4,4.31,11.97,107.58,0,4,0.1198,0
2024-01-31 00:00:00,VH-0120,2.54,56917,3.83,48.57,0,3.17,12.29,86.4,1,10,0.003,0
2024-01-31 06:00:00,VH-0121,5.67,93802,4.97,60.53,2,6.79,12.47,103.18,1,11,0.1625,0
2024-01-31 12:00:00,VH-0122,5.77,102116,30.0,36.49,1,3.25,11.61,91.11,1,5,0.9017,1
2024-01-31 18:00:00,VH-0123,8.73,136186,3.59,77.19,0,5.92,12.28,89.32,1,4,0.1541,0
2024-02-01 00:00:00,VH-0124,7.37,108778,8.84,69.59,3,4.79,11.77,97.79,0,12,0.2437,0
2024-02-01 06:00:00,VH-0125,6.13,84316,1.86,62.98,0,3.48,12.87,89.18,2,5,0.0411,0
2024-02-01 12:00:00,VH-0126,9.0,136641,9.61,58.81,1,5.49,12.95,91.72,2,5,0.2289,0
2024-02-01 18:00:00,VH-0127,2.11,37180,3.13,20.6,1,3.34,13.15,93.5,0,4,0.0004,0
2024-02-02 00:00:00,VH-0128,3.54,56435,5.77,23.83,4,3.74,13.04,86.43,1,2,0.0108,0
2024-02-02 06:00:00,VH-0129,2.79,41150,1.58,17.64,1,5.63,13.01,88.22,1,5,0.0068,0
2024-02-02 12:00:00,VH-0130,4.19,66424,5.36,38.9,1,1.92,12.71,93.98,1,5,0.0149,0
2024-02-02 18:00:00,VH-0131,1.62,22316,5.44,35.15,0,3.2,12.8,94.56,0,6,0.0011,0
2024-02-03 00:00:00,VH-0132,6.85,108260,4.84,67.51,2,4.95,12.15,95.06,2,6,0.2233,0
2024-02-03 06:00:00,VH-0133,4.62,46584,7.57,26.73,0,5.13,12.78,91.94,1,4,0.0164,0
2024-02-03 12:00:00,VH-0134,1.38,24764,11.45,25.27,0,3.08,12.85,91.55,0,6,0.0188,0
2024-02-03 18:00:00,VH-0135,2.56,29730,2.5,26.04,0,6.19,12.62,95.88,0,4,0.002,0
2024-02-04 00:00:00,VH-0136,6.02,96726,4.92,40.6,1,5.21,12.7,84.88,1,7,0.0685,0
2024-02-04 06:00:00,VH-0137,7.38,107895,1.69,60.55,1,2.21,12.27,87.96,2,12,0.049,0
2024-02-04 12:00:00,VH-0138,10.39,163410,1.02,73.42,5,4.46,12.13,96.86,2,7,0.725,1
2024-02-04 18:00:00,VH-0139,12.78,261274,6.28,100.0,3,6.88,12.35,96.62,1,14,0.9589,1
2024-02-05 00:00:00,VH-0140,6.28,103125,2.34,54.53,2,3.56,12.72,82.03,0,10,0.0121,0
2024-02-05 06:00:00,VH-0141,2.63,61205,5.59,44.51,2,4.79,12.62,86.91,0,6,0.0102,0
2024-02-05 12:00:00,VH-0142,0.3,21837,6.46,32.09,0,2.99,12.7,89.41,0,6,0.0011,0
2024-02-05 18:00:00,VH-0143,5.9,88868,1.22,35.71,2,3.35,12.68,97.54,3,7,0.0625,0
2024-02-06 00:00:00,VH-0144,3.09,50263,7.16,44.46,2,3.15,11.99,90.28,0,8,0.032,0
2024-02-06 06:00:00,VH-0145,4.12,59515,11.09,39.66,3,5.25,12.21,91.49,1,9,0.3221,1
2024-02-06 12:00:00,VH-0146,3.61,55231,8.3,30.04,1,1.97,12.13,93.03,0,7,0.013,0
2024-02-06 18:00:00,VH-0147,4.83,62618,2.56,40.38,1,5.12,12.65,90.32,0,6,0.0043,0
2024-02-07 00:00:00,VH-0148,7.97,132451,5.33,63.52,2,6.11,12.77,98.26,2,5,0.2499,0
2024-02-07 06:00:00,VH-0149,5.61,96258,5.77,61.06,1,4.12,12.69,90.35,2,7,0.0481,0
2024-02-07 12:00:00,VH-0150,4.79,66882,4.99,26.35,1,2.72,12.41,85.18,0,13,0.0038,0
2024-02-07 18:00:00,VH-0151,2.51,23445,1.77,41.23,3,4.56,12.56,101.58,0,12,0.0173,0
2024-02-08 00:00:00,VH-0152,0.85,3000,2.91,19.22,0,2.75,12.61,95.56,0,2,0.0003,0
2024-02-08 06:00:00,VH-0153,3.94,53908,4.67,28.77,1,2.46,13.35,85.85,1,10,0.0027,0
2024-02-08 12:00:00,VH-0154,5.06,81549,6.4,37.04,3,6.56,12.56,97.46,0,8,0.0866,0
2024-02-08 18:00:00,VH-0155,9.8,141878,3.57,50.32,3,4.43,12.39,92.78,1,6,0.1034,0
2024-02-09 00:00:00,VH-0156,5.54,102359,0.9,29.1,0,2.87,11.91,92.53,1,5,0.0039,0
2024-02-09 06:00:00,VH-0157,7.76,104151,3.75,58.68,3,5.18,12.03,90.41,3,14,0.6882,1
2024-02-09 12:00:00,VH-0158,3.9,33055,15.67,52.1,0,3.5,12.36,94.11,2,13,0.1821,0
2024-02-09 18:00:00,VH-0159,2.12,35924,7.19,9.81,1,5.27,12.52,98.01,0,9,0.0027,0
2024-02-10 00:00:00,VH-0160,2.69,41248,6.27,19.48,0,3.28,12.73,84.9,0,14,0.0016,0
2024-02-10 06:00:00,VH-0161,3.31,46860,2.88,41.66,1,3.53,12.77,91.5,0,8,0.004,0
2024-02-10 12:00:00,VH-0162,10.73,171184,3.88,70.95,2,5.8,12.47,99.78,0,6,0.6057,1
2024-02-10 18:00:00,VH-0163,3.06,45320,0.82,42.18,1,4.08,12.14,86.43,1,5,0.0173,0
2024-02-11 00:00:00,VH-0164,7.38,109641,2.71,51.04,0,4.65,12.1,86.98,2,9,0.3916,1
2024-02-11 06:00:00,VH-0165,2.85,48710,6.94,26.25,1,4.19,12.62,94.81,0,10,0.0025,0
2024-02-11 12:00:00,VH-0166,7.62,99855,6.3,46.49,2,4.83,12.16,92.41,0,8,0.1342,0
2024-02-11 18:00:00,VH-0167,6.2,56305,3.31,7.01,1,3.59,12.44,83.32,0,4,0.005,0
2024-02-12 00:00:00,VH-0168,4.79,57898,4.99,22.37,2,5.04,12.63,91.72,1,2,0.0151,0
2024-02-12 06:00:00,VH-0169,5.09,77478,5.63,53.59,2,4.06,12.29,101.56,0,9,0.0243,0
2024-02-12 12:00:00,VH-0170,3.5,71955,3.45,54.79,2,5.16,12.77,103.7,0,8,0.033,0
2024-02-12 18:00:00,VH-0171,6.36,86542,7.48,61.92,5,6.45,12.62,95.04,1,12,0.4087,0
2024-02-13 00:00:00,VH-0172,4.02,65235,6.22,43.68,1,3.43,12.63,86.55,1,9,0.0061,0
2024-02-13 06:00:00,VH-0173,2.01,18579,3.99,2.0,0,5.81,13.03,88.62,0,7,0.0003,0
2024-02-13 12:00:00,VH-0174,1.88,46268,1.89,24.84,1,3.18,12.08,100.0,1,4,0.0011,0
2024-02-13 18:00:00,VH-0175,5.65,59232,3.77,52.41,1,3.33,12.36,95.28,0,12,0.0126,0
2024-02-14 00:00:00,VH-0176,9.31,148101,3.58,83.76,1,5.57,12.66,99.5,2,6,0.4979,0
2024-02-14 06:00:00,VH-0177,5.62,84226,3.3,60.67,1,4.76,12.28,96.77,1,7,0.0221,0
2024-02-14 12:00:00,VH-0178,4.89,55130,1.27,32.39,1,4.06,12.32,84.84,0,8,0.004,0
2024-02-14 18:00:00,VH-0179,5.94,82057,13.06,27.96,2,5.29,12.27,88.7,0,4,0.0893,1
2024-02-15 00:00:00,VH-0180,8.6,103753,12.65,49.94,2,4.97,12.16,89.8,0,9,0.2395,0
2024-02-15 06:00:00,VH-0181,5.77,69671,4.86,39.95,2,6.4,12.35,91.39,0,4,0.0456,0
2024-02-15 12:00:00,VH-0182,4.13,35081,6.37,47.75,1,3.72,13.24,87.87,2,8,0.0285,0
2024-02-15 18:00:00,VH-0183,8.08,125083,7.39,59.82,1,3.92,12.43,88.55,2,10,0.3881,1
2024-02-16 00:00:00,VH-0184,6.31,111546,4.92,53.06,3,4.43,12.18,97.62,0,6,0.0886,0
2024-02-16 06:00:00,VH-0185,9.19,88796,6.69,46.63,5,5.56,11.78,98.46,1,14,0.2821,1
2024-02-16 12:00:00,VH-0186,5.68,70448,8.12,44.81,0,4.47,12.6,96.33,0,5,0.0576,0
2024-02-16 18:00:00,VH-0187,2.02,26185,6.06,33.7,1,3.88,12.4,92.6,1,3,0.0039,0
2024-02-17 00:00:00,VH-0188,1.64,37782,9.09,21.11,2,3.13,13.43,88.98,1,10,0.0066,0
2024-02-17 06:00:00,VH-0189,9.49,103246,3.21,37.57,1,5.64,12.5,93.16,2,8,0.4171,1
2024-02-17 12:00:00,VH-0190,9.68,104419,5.33,67.08,3,6.84,12.48,88.06,0,7,0.272,0
2024-02-17 18:00:00,VH-0191,4.73,66602,25.32,19.12,5,4.87,12.17,85.88,1,4,0.5538,1
2024-02-18 00:00:00,VH-0192,4.2,49923,10.52,53.25,3,6.11,12.88,98.47,0,11,0.1414,1
2024-02-18 06:00:00,VH-0193,9.0,101946,6.16,26.93,2,5.56,11.47,98.67,1,11,0.2078,1
2024-02-18 12:00:00,VH-0194,2.32,28891,2.51,20.01,0,5.74,12.38,91.23,0,7,0.0021,0
2024-02-18 18:00:00,VH-0195,2.87,48024,5.53,44.67,1,4.39,13.05,89.64,1,11,0.0084,0
2024-02-19 00:00:00,VH-0196,6.87,84922,10.06,44.54,4,5.0,12.86,89.39,1,4,0.0826,0
2024-02-19 06:00:00,VH-0197,4.17,63357,8.73,22.0,0,4.75,12.1,96.21,1,8,0.0086,0
2024-02-19 12:00:00,VH-0198,5.19,81756,0.98,48.67,1,3.85,12.03,93.79,1,8,0.0085,0
2024-02-19 18:00:00,VH-0199,4.78,65475,1.32,39.27,0,4.33,12.74,91.62,0,9,0.0068,0
2024-02-20 00:00:00,VH-0200,6.08,92824,1.38,44.41,0,5.56,12.77,90.76,0,4,0.0022,0
2024-02-20 06:00:00,VH-0201,8.86,146750,7.47,56.37,1,5.83,12.33,89.97,2,8,0.3709,0
2024-02-20 12:00:00,VH-0202,5.44,75961,1.4,41.32,0,4.01,12.62,84.44,1,7,0.015,0
2024-02-20 18:00:00,VH-0203,6.87,116919,2.42,47.55,1,4.88,11.88,93.1,0,6,0.0322,1
2024-02-21 00:00:00,VH-0204,0.3,4105,4.79,48.5,1,4.18,12.73,88.8,0,5,0.0082,0
2024-02-21 06:00:00,VH-0205,5.07,54539,11.17,32.16,1,4.71,12.34,89.64,0,7,0.0158,0
2024-02-21 12:00:00,VH-0206,3.01,59914,7.72,32.24,0,4.62,12.43,98.9,0,9,0.0126,0
2024-02-21 18:00:00,VH-0207,2.03,24109,4.37,19.03,2,4.17,12.1,92.64,0,8,0.0086,0
2024-02-22 00:00:00,VH-0208,2.92,58973,9.26,57.75,1,3.21,12.8,78.74,0,6,0.0199,0
2024-02-22 06:00:00,VH-0209,4.33,51274,18.61,14.35,1,3.28,12.58,88.36,1,6,0.0978,0
2024-02-22 12:00:00,VH-0210,7.58,105081,5.56,55.15,3,5.37,12.13,89.88,1,11,0.0901,0
2024-02-22 18:00:00,VH-0211,1.75,36044,1.79,26.39,1,4.61,12.79,91.01,0,3,0.0022,0
2024-02-23 00:00:00,VH-0212,5.28,94794,2.49,30.54,1,5.14,12.45,84.85,1,4,0.0154,0
2024-02-23 06:00:00,VH-0213,3.94,48924,2.47,23.46,1,3.25,12.53,93.19,0,8,0.0016,0
2024-02-23 12:00:00,VH-0214,4.35,80952,2.96,47.1,2,4.31,12.84,91.47,2,5,0.0232,0
2024-02-23 18:00:00,VH-0215,7.81,119709,4.14,45.04,4,4.08,12.61,93.26,2,13,0.2708,0
2024-02-24 00:00:00,VH-0216,6.6,73885,6.53,44.2,1,2.81,12.82,91.55,1,8,0.0094,0
2024-02-24 06:00:00,VH-0217,8.68,146076,1.54,84.4,3,5.44,12.81,94.54,4,11,0.696,1
2024-02-24 12:00:00,VH-0218,4.8,104511,1.82,52.71,1,5.9,12.61,91.68,1,6,0.0534,0
2024-02-24 18:00:00,VH-0219,3.39,51414,8.07,16.62,1,4.05,13.59,90.3,1,5,0.0113,0
2024-02-25 00:00:00,VH-0220,4.62,96801,3.59,38.09,0,6.18,13.18,90.99,0,9,0.0089,0
2024-02-25 06:00:00,VH-0221,5.83,82944,2.7,40.5,2,4.32,12.35,94.67,0,4,0.008,0
2024-02-25 12:00:00,VH-0222,5.66,58735,4.5,32.13,2,4.24,12.59,94.01,1,9,0.0092,0
2024-02-25 18:00:00,VH-0223,2.38,30372,12.45,29.32,0,2.55,11.85,94.91,0,5,0.0044,0
2024-02-26 00:00:00,VH-0224,5.44,82492,8.83,47.53,0,3.77,12.46,87.15,0,10,0.0381,0
2024-02-26 06:00:00,VH-0225,5.79,72749,8.42,61.5,0,2.82,13.03,90.6,0,6,0.0133,0
2024-02-26 12:00:00,VH-0226,11.75,143183,15.29,62.7,7,4.51,12.89,112.28,1,12,0.9457,0
2024-02-26 18:00:00,VH-0227,10.08,152620,6.75,51.87,0,3.72,12.18,89.66,3,5,0.2877,1
2024-02-27 00:00:00,VH-0228,2.98,41856,16.19,44.93,3,4.29,12.53,94.33,0,6,0.1672,0
2024-02-27 06:00:00,VH-0229,4.45,47257,17.02,47.92,2,3.35,12.52,86.16,2,11,0.1631,0
2024-02-27 12:00:00,VH-0230,1.4,18755,1.59,26.65,2,3.27,13.57,88.87,0,11,0.0005,0
2024-02-27 18:00:00,VH-0231,3.66,74743,1.19,38.4,0,4.44,12.41,89.69,0,8,0.004,0
2024-02-28 00:00:00,VH-0232,6.02,70215,2.33,47.41,1,2.61,13.51,93.37,1,6,0.0068,0
