service_id,service_date,month,city,service_center,vehicle_model,vehicle_age_years,mileage_km,service_type,complaint_category,warranty_status,parts_cost_inr,labor_cost_inr,total_bill_inr,turnaround_hours,customer_rating,repeat_visit_30d,technician_experience_years,payment_mode
SRV-00042,2025-05-13,May,Nashik,Ambad Service Hub,Virtus,3.0,32313,Repair,Electrical,Under Warranty,3570,2370,7010,16.5,4.5,No,7,UPI
SRV-00043,2025-11-03,Nov,Pune,Wakad Service Hub,Polo,2.2,24398,Repair,Electrical,Out of Warranty,18440,5030,27690,16.3,4.3,No,6,Cash
SRV-00044,2025-06-30,Jun,Nagpur,Wardha Road Auto Care,Taigun,1.5,27204,Repair,Engine,Under Warranty,6090,2020,9570,17.2,3.9,No,9,Debit Card
SRV-00045,2025-09-25,Sep,Nagpur,Hingna Service Hub,Virtus,3.2,36215,Scheduled Maintenance,General Service,Out of Warranty,6100,2760,10450,3.7,4.8,No,6,Credit Card
SRV-00046,2025-08-06,Aug,Pune,Wakad Service Hub,Virtus,4.2,45530,Scheduled Maintenance,Engine,Under Warranty,1830,1230,3610,9.6,5.0,No,10,Credit Card
SRV-00047,2025-09-22,Sep,Mumbai,Navi Mumbai Workshop,Taigun,2.8,34756,Scheduled Maintenance,General Service,Out of Warranty,4120,1900,7100,3.0,4.4,No,4,Credit Card
SRV-00048,2025-09-20,Sep,Mumbai,Navi Mumbai Workshop,Taigun,5.5,38404,Repair,Engine,Out of Warranty,16220,6440,26740,24.7,3.8,Yes,4,UPI
SRV-00049,2025-09-28,Sep,Mumbai,Navi Mumbai Workshop,Vento,14.0,185000,Repair,Tyres/Suspension,Out of Warranty,14090,6020,23730,17.0,3.7,No,9,Net Banking
SRV-00050,2025-04-06,Apr,Nashik,Ambad Service Hub,Tiguan,2.7,31513,Repair,Brakes,Under Warranty,6260,2910,10820,10.3,4.5,No,7,UPI
SRV-00051,2025-10-10,Oct,Nagpur,Wardha Road Auto Care,Tiguan,1.8,12079,Scheduled Maintenance,General Service,Under Warranty,1360,1410,3270,3.6,4.5,No,3,Debit Card
SRV-00052,2025-05-27,May,Mumbai,Thane Auto Care,Virtus,2.9,44744,Scheduled Maintenance,Air Conditioning,Under Warranty,1350,1560,3430,7.8,5.0,No,6,Cash
SRV-00053,2025-11-23,Nov,Mumbai,Thane Auto Care,Vento,1.5,14181,Emergency,Electrical,Under Warranty,6460,3570,11840,22.1,3.4,Yes,15,Credit Card
SRV-00054,2025-12-05,Dec,Mumbai,Andheri Service Hub,Vento,6.2,96768,Emergency,Engine,Out of Warranty,20640,7170,32820,18.6,3.1,No,11,Credit Card
SRV-00055,2025-03-26,Mar,Pune,Hadapsar Workshop,Polo,10.0,127540,Inspection,Air Conditioning,Out of Warranty,1250,1940,3760,1.0,4.5,No,6,Credit Card
SRV-00056,2025-02-13,Feb,Nashik,Ambad Service Hub,Taigun,4.4,39014,Repair,Electrical,Out of Warranty,9880,5050,17620,17.2,4.5,No,7,Credit Card
SRV-00057,2025-11-23,Nov,Nagpur,Wardha Road Auto Care,Taigun,2.3,44534,Scheduled Maintenance,Brakes,Under Warranty,1740,1460,3780,8.8,4.4,No,7,Credit Card
SRV-00058,2025-06-08,Jun,Pune,Wakad Service Hub,Virtus,2.5,39640,Scheduled Maintenance,General Service,Under Warranty,990,1450,2880,5.1,4.9,No,2,Debit Card
SRV-00059,2025-11-23,Nov,Mumbai,Andheri Service Hub,Virtus,2.5,20752,Repair,Engine,Out of Warranty,20230,4200,28830,20.8,4.0,No,6,Net Banking
SRV-00060,2025-11-10,Nov,Mumbai,Andheri Service Hub,Taigun,3.4,32367,Emergency,Tyres/Suspension,Out of Warranty,20170,6430,31390,29.8,4.3,No,7,Debit Card
SRV-00061,2025-04-10,Apr,Mumbai,Andheri Service Hub,Taigun,6.0,76344,Scheduled Maintenance,General Service,Out of Warranty,3790,2430,7340,1.0,4.2,No,7,UPI
SRV-00062,2025-03-01,Mar,Mumbai,Thane Auto Care,Tiguan,7.4,95405,Inspection,General Service,Out of Warranty,1000,2070,3620,2.5,4.8,No,4,Debit Card
SRV-00063,2025-08-01,Aug,Nagpur,Wardha Road Auto Care,Taigun,6.2,91527,Scheduled Maintenance,General Service,Out of Warranty,2960,2870,6880,1.0,5.0,No,8,UPI
SRV-00064,2025-09-22,Sep,Mumbai,Navi Mumbai Workshop,Tiguan,4.4,64651,Scheduled Maintenance,General Service,Under Warranty,1250,1440,3170,3.0,5.0,No,7,UPI
SRV-00065,2025-03-03,Mar,Nagpur,Wardha Road Auto Care,Taigun,1.9,30597,Inspection,General Service,Under Warranty,580,660,1460,1.0,4.8,No,5,UPI
SRV-00066,2025-02-10,Feb,Pune,Wakad Service Hub,Virtus,3.5,55438,Repair,Brakes,Under Warranty,2470,2280,5600,11.0,4.4,No,6,Debit Card
SRV-00067,2025-07-24,Jul,Nagpur,Wardha Road Auto Care,Virtus,2.4,22504,Repair,Engine,Under Warranty,4800,2940,9130,18.8,3.8,No,5,Credit Card
SRV-00068,2025-09-26,Sep,Pune,Wakad Service Hub,Vento,5.6,79221,Emergency,Brakes,Out of Warranty,27610,9470,43750,21.9,4.6,No,5,UPI
SRV-00069,2025-03-04,Mar,Pune,Baner Auto Care,Polo,4.7,48012,Scheduled Maintenance,General Service,Under Warranty,990,1330,2740,1.0,4.2,No,9,Credit Card
SRV-00070,2025-02-06,Feb,Nashik,College Road Auto Care,Virtus,4.0,52375,Scheduled Maintenance,General Service,Out of Warranty,3470,1960,6410,1.0,4.0,No,8,Credit Card
SRV-00071,2025-06-24,Jun,Pune,Baner Auto Care,Taigun,4.4,79784,Repair,Brakes,Under Warranty,3930,2170,7200,12.6,4.8,No,10,Credit Card
SRV-00072,2025-06-09,Jun,Mumbai,Thane Auto Care,Taigun,4.7,70386,Scheduled Maintenance,Brakes,Under Warranty,1670,1480,3720,3.2,5.0,No,9,Debit Card
SRV-00073,2025-01-21,Jan,Mumbai,Navi Mumbai Workshop,Tiguan,2.8,33256,Repair,Electrical,Under Warranty,3420,3330,7960,14.7,4.0,No,11,Cash
SRV-00074,2025-06-26,Jun,Pune,Baner Auto Care,Polo,5.4,43420,Recall,Tyres/Suspension,Out of Warranty,1050,780,2160,11.3,4.4,No,3,Net Banking
SRV-00075,2025-08-29,Aug,Mumbai,Thane Auto Care,Taigun,1.0,11572,Scheduled Maintenance,General Service,Out of Warranty,2700,2750,6430,2.1,4.7,No,5,Credit Card
SRV-00076,2025-01-19,Jan,Mumbai,Thane Auto Care,Vento,6.1,74819,Scheduled Maintenance,Tyres/Suspension,Out of Warranty,5730,2840,10110,14.7,4.1,No,7,Credit Card
SRV-00077,2025-01-07,Jan,Nagpur,Wardha Road Auto Care,Tiguan,4.9,60181,Emergency,Engine,Out of Warranty,36350,9240,53800,32.5,3.5,No,2,Credit Card
SRV-00078,2025-06-24,Jun,Pune,Baner Auto Care,Tiguan,6.1,74002,Recall,General Service,Out of Warranty,1220,1250,2910,1.0,4.9,No,10,Credit Card
SRV-00079,2025-07-30,Jul,Nagpur,Wardha Road Auto Care,Virtus,0.1,2576,Scheduled Maintenance,General Service,Under Warranty,1020,1190,2610,7.9,4.0,Yes,3,UPI
SRV-00080,2025-12-26,Dec,Mumbai,Andheri Service Hub,Tiguan,1.1,16781,Scheduled Maintenance,General Service,Under Warranty,1750,1380,3690,4.5,5.0,No,8,Cash
SRV-00081,2025-12-04,Dec,Pune,Baner Auto Care,Vento,9.0,132415,Inspection,Engine,Out of Warranty,1510,2220,4400,8.4,4.9,No,12,Net Banking
SRV-00082,2025-03-26,Mar,Mumbai,Andheri Service Hub,Taigun,3.0,17316,Repair,Brakes,Under Warranty,6120,2830,10560,14.4,4.9,No,7,Cash
SRV-00083,2025-07-23,Jul,Nagpur,Hingna Service Hub,Virtus,2.4,39900,Emergency,Electrical,Under Warranty,5660,3270,10540,23.6,4.1,No,7,Debit Card
SRV-00084,2025-06-16,Jun,Nashik,Ambad Service Hub,Polo,9.3,101285,Emergency,Engine,Under Warranty,10180,4880,17770,26.9,4.0,No,2,Debit Card
SRV-00085,2025-03-24,Mar,Mumbai,Thane Auto Care,Polo,6.9,76371,Repair,Electrical,Under Warranty,2910,3630,7720,13.5,4.2,No,3,UPI
SRV-00086,2025-03-08,Mar,Mumbai,Thane Auto Care,Vento,6.3,108960,Scheduled Maintenance,General Service,Out of Warranty,3620,2230,6900,9.1,4.0,No,1,Net Banking
SRV-00087,2025-08-14,Aug,Nagpur,Wardha Road Auto Care,Virtus,5.2,79912,Repair,Brakes,Out of Warranty,10520,7110,20800,11.4,4.0,No,7,Net Banking
SRV-00088,2025-11-04,Nov,Pune,Hadapsar Workshop,Taigun,3.0,46981,Scheduled Maintenance,Engine,Under Warranty,1830,1310,3710,8.6,4.4,No,7,UPI
SRV-00089,2025-03-07,Mar,Pune,Hadapsar Workshop,Tiguan,4.5,41574,Scheduled Maintenance,General Service,Out of Warranty,3200,2440,6660,3.2,4.7,No,6,Cash
SRV-00090,2025-04-21,Apr,Mumbai,Andheri Service Hub,Tiguan,5.0,75597,Inspection,General Service,Under Warranty,580,900,1750,1.3,4.3,No,2,Debit Card
SRV-00091,2025-09-05,Sep,Mumbai,Navi Mumbai Workshop,Taigun,3.7,53388,Inspection,General Service,Out of Warranty,1650,1850,4130,2.8,4.6,No,2,UPI
SRV-00092,2025-04-04,Apr,Pune,Wakad Service Hub,Tiguan,5.4,92470,Repair,General Service,Out of Warranty,15970,5140,24910,15.3,4.9,No,6,UPI
SRV-00093,2025-11-17,Nov,Mumbai,Andheri Service Hub,Virtus,3.2,50256,Inspection,General Service,Out of Warranty,1380,1080,2900,3.3,4.8,No,5,Credit Card
SRV-00094,2025-08-27,Aug,Nashik,Ambad Service Hub,Tiguan,7.0,94032,Repair,Engine,Out of Warranty,21970,7930,35280,18.3,4.8,No,2,Net Banking
SRV-00095,2025-02-17,Feb,Nagpur,Hingna Service Hub,Vento,4.6,47088,Emergency,Engine,Out of Warranty,24530,5700,35670,27.9,2.7,Yes,2,Credit Card
SRV-00096,2025-07-15,Jul,Pune,Wakad Service Hub,Tiguan,4.7,64526,Scheduled Maintenance,Brakes,Under Warranty,2140,1210,3950,7.7,5.0,No,2,UPI
SRV-00097,2025-01-11,Jan,Nashik,College Road Auto Care,Virtus,0.1,16143,Scheduled Maintenance,Brakes,Under Warranty,1000,1510,2960,7.0,4.7,No,5,Net Banking
SRV-00098,2025-05-26,May,Pune,Wakad Service Hub,Polo,2.8,44528,Scheduled Maintenance,General Service,Out of Warranty,3270,2290,6560,4.0,4.3,No,4,Credit Card
SRV-00099,2025-05-06,May,Pune,Baner Auto Care,Virtus,3.4,50674,Emergency,Engine,Out of Warranty,27870,5770,39700,31.3,3.6,No,3,UPI
SRV-00100,2025-07-08,Jul,Mumbai,Andheri Service Hub,Virtus,7.5,76761,Inspection,Electrical,Out of Warranty,1700,1490,3760,8.2,5.0,No,3,UPI
SRV-00101,2025-10-15,Oct,Nashik,College Road Auto Care,Taigun,6.4,99603,Repair,Electrical,Out of Warranty,14600,3280,21100,12.6,4.8,No,12,Net Banking
SRV-00102,2025-06-18,Jun,Pune,Wakad Service Hub,Polo,6.4,82392,Inspection,General Service,Out of Warranty,900,1790,3170,2.8,4.6,No,5,Debit Card
SRV-00103,2025-04-08,Apr,Mumbai,Navi Mumbai Workshop,Virtus,5.0,28408,Scheduled Maintenance,General Service,Out of Warranty,4950,2690,9020,3.5,5.0,No,4,UPI
SRV-00104,2025-07-21,Jul,Pune,Hadapsar Workshop,Taigun,6.2,63785,Inspection,General Service,Out of Warranty,1220,1860,3630,1.0,4.5,No,7,UPI
SRV-00105,2025-02-13,Feb,Nagpur,Hingna Service Hub,Taigun,0.1,500,Scheduled Maintenance,General Service,Under Warranty,1450,1460,3430,1.8,4.3,Yes,7,UPI
SRV-00106,2025-08-08,Aug,Mumbai,Thane Auto Care,Polo,9.1,120128,Scheduled Maintenance,Air Conditioning,Out of Warranty,3620,2420,7130,3.4,4.2,No,7,UPI
SRV-00107,2025-07-24,Jul,Pune,Baner Auto Care,Polo,10.1,115739,Repair,Electrical,Out of Warranty,13650,6650,23950,14.2,3.7,No,6,UPI
SRV-00108,2025-04-18,Apr,Mumbai,Thane Auto Care,Polo,3.6,48825,Emergency,General Service,Out of Warranty,12380,5820,21480,20.5,4.3,No,3,UPI
SRV-00109,2025-11-02,Nov,Mumbai,Thane Auto Care,Taigun,5.1,52020,Scheduled Maintenance,Brakes,Out of Warranty,3960,2220,7290,3.8,5.0,No,10,UPI
SRV-00110,2025-06-18,Jun,Nashik,College Road Auto Care,Vento,10.6,123104,Scheduled Maintenance,Engine,Out of Warranty,3610,2610,7340,5.4,4.4,No,6,UPI
SRV-00111,2025-07-24,Jul,Pune,Hadapsar Workshop,Taigun,2.0,20691,Scheduled Maintenance,Tyres/Suspension,Under Warranty,1570,1340,3430,7.1,4.8,No,4,UPI
SRV-00112,2025-03-07,Mar,Mumbai,Thane Auto Care,Taigun,2.6,46088,Scheduled Maintenance,Brakes,Under Warranty,1900,1480,3990,4.3,4.7,No,7,Credit Card
SRV-00113,2025-01-20,Jan,Pune,Baner Auto Care,Taigun,0.6,14107,Scheduled Maintenance,Engine,Under Warranty,2140,1240,3990,14.8,3.3,Yes,7,Credit Card
SRV-00114,2025-03-25,Mar,Nagpur,Hingna Service Hub,Polo,3.5,59009,Repair,Tyres/Suspension,Out of Warranty,12870,4720,20760,13.8,4.6,No,6,Credit Card
SRV-00115,2025-12-31,Dec,Mumbai,Andheri Service Hub,Tiguan,1.0,500,Scheduled Maintenance,General Service,Out of Warranty,4260,2260,7690,5.9,5.0,No,4,Debit Card
SRV-00116,2025-04-16,Apr,Pune,Baner Auto Care,Virtus,1.7,11830,Repair,Engine,Out of Warranty,13420,5580,22420,25.5,4.0,No,3,Cash
SRV-00117,2025-12-08,Dec,Nashik,College Road Auto Care,Virtus,0.5,11557,Repair,Electrical,Under Warranty,5330,2620,9380,14.0,3.8,No,10,UPI
SRV-00118,2025-01-11,Jan,Pune,Wakad Service Hub,Taigun,3.3,20463,Scheduled Maintenance,General Service,Under Warranty,1490,1440,3460,3.8,4.9,No,6,Debit Card
SRV-00119,2025-11-15,Nov,Mumbai,Navi Mumbai Workshop,Virtus,4.7,63895,Scheduled Maintenance,Tyres/Suspension,Out of Warranty,7090,2320,11100,8.0,4.3,No,2,UPI
SRV-00120,2025-04-30,Apr,Pune,Baner Auto Care,Taigun,3.6,48484,Emergency,Engine,Out of Warranty,25440,5470,36470,27.4,4.0,No,9,UPI
SRV-00121,2025-07-18,Jul,Nagpur,Hingna Service Hub,Vento,12.5,145993,Emergency,Engine,Out of Warranty,30400,7630,44880,27.6,3.2,Yes,9,Debit Card
SRV-00122,2025-01-11,Jan,Nagpur,Wardha Road Auto Care,Polo,6.7,88391,Scheduled Maintenance,Tyres/Suspension,Out of Warranty,3970,2900,8110,6.2,4.4,No,8,Net Banking
SRV-00123,2025-06-10,Jun,Mumbai,Navi Mumbai Workshop,Tiguan,6.9,121025,Recall,General Service,Out of Warranty,750,1250,2360,6.5,4.9,No,3,UPI
SRV-00124,2025-08-04,Aug,Nashik,Ambad Service Hub,Polo,3.8,33710,Scheduled Maintenance,General Service,Under Warranty,830,1240,2440,3.3,4.2,No,8,UPI
SRV-00125,2025-08-11,Aug,Pune,Baner Auto Care,Taigun,2.9,41969,Recall,Brakes,Out of Warranty,1020,1230,2660,10.0,5.0,No,7,Credit Card
SRV-00126,2025-02-20,Feb,Mumbai,Navi Mumbai Workshop,Virtus,0.4,2190,Inspection,Air Conditioning,Out of Warranty,1800,2290,4830,4.7,4.4,No,7,UPI
SRV-00127,2025-09-10,Sep,Pune,Wakad Service Hub,Tiguan,4.0,41030,Recall,Electrical,Out of Warranty,1240,830,2440,7.0,4.2,Yes,10,Net Banking
SRV-00128,2025-09-07,Sep,Mumbai,Thane Auto Care,Taigun,1.0,16462,Repair,Tyres/Suspension,Out of Warranty,14080,4830,22310,19.4,4.1,No,3,Credit Card
SRV-00129,2025-11-26,Nov,Pune,Wakad Service Hub,Taigun,4.9,44119,Scheduled Maintenance,General Service,Out of Warranty,3870,3000,8110,5.4,4.8,No,1,Cash
SRV-00130,2025-05-18,May,Pune,Baner Auto Care,Polo,9.4,139928,Inspection,General Service,Out of Warranty,930,1770,3190,1.0,4.6,No,4,Credit Card
SRV-00131,2025-10-28,Oct,Mumbai,Thane Auto Care,Tiguan,4.8,71647,Repair,Tyres/Suspension,Out of Warranty,19750,7320,31940,16.2,4.7,No,7,UPI
SRV-00132,2025-04-26,Apr,Pune,Baner Auto Care,Tiguan,7.4,102588,Emergency,Engine,Out of Warranty,31190,11440,50300,32.5,4.0,No,6,Credit Card
SRV-00133,2025-09-26,Sep,Pune,Baner Auto Care,Virtus,1.4,14012,Scheduled Maintenance,Engine,Under Warranty,2350,1120,4090,4.0,4.9,No,8,UPI
SRV-00134,2025-12-17,Dec,Nagpur,Wardha Road Auto Care,Taigun,4.1,86244,Scheduled Maintenance,General Service,Under Warranty,1170,1460,3100,6.8,3.9,No,9,UPI
SRV-00135,2025-09-26,Sep,Nashik,College Road Auto Care,Virtus,4.7,39923,Inspection,Tyres/Suspension,Out of Warranty,1800,1220,3560,6.2,4.8,No,8,Credit Card
SRV-00136,2025-08-02,Aug,Mumbai,Andheri Service Hub,Virtus,4.3,57126,Repair,Air Conditioning,Out of Warranty,8780,5100,16380,14.4,4.2,No,8,UPI
SRV-00137,2025-08-06,Aug,Nashik,Ambad Service Hub,Virtus,5.8,58981,Repair,Tyres/Suspension,Out of Warranty,13650,5110,22140,18.5,4.1,No,5,Credit Card
SRV-00138,2025-04-29,Apr,Pune,Wakad Service Hub,Virtus,3.4,35793,Scheduled Maintenance,Engine,Out of Warranty,6790,2390,10830,10.8,4.8,No,7,Cash
SRV-00139,2025-07-07,Jul,Nashik,Ambad Service Hub,Tiguan,6.0,65717,Recall,Tyres/Suspension,Out of Warranty,1290,830,2500,4.6,4.3,No,6,UPI
SRV-00140,2025-04-28,Apr,Pune,Baner Auto Care,Polo,9.8,137613,Emergency,Engine,Out of Warranty,21310,5090,31150,27.0,3.8,No,8,Net Banking
SRV-00141,2025-08-06,Aug,Mumbai,Navi Mumbai Workshop,Polo,6.1,83968,Scheduled Maintenance,General Service,Out of Warranty,2740,2900,6660,1.9,5.0,No,6,Debit Card
SRV-00142,2025-12-11,Dec,Nashik,Ambad Service Hub,Polo,7.0,107973,Repair,Electrical,Out of Warranty,11130,4640,18610,19.6,4.5,No,7,UPI
SRV-00143,2025-07-20,Jul,Nagpur,Wardha Road Auto Care,Taigun,0.1,15255,Scheduled Maintenance,Tyres/Suspension,Under Warranty,2160,1330,4120,8.4,4.4,No,2,Credit Card
SRV-00144,2025-06-26,Jun,Nagpur,Wardha Road Auto Care,Virtus,5.2,44912,Scheduled Maintenance,Tyres/Suspension,Out of Warranty,7120,2450,11290,5.8,5.0,No,7,UPI
SRV-00145,2025-08-02,Aug,Nagpur,Hingna Service Hub,Virtus,0.1,1339,Repair,Engine,Out of Warranty,18210,5500,27980,23.1,3.8,No,12,Credit Card
SRV-00146,2025-07-11,Jul,Pune,Baner Auto Care,Vento,8.1,129394,Repair,Electrical,Out of Warranty,17720,4420,26130,20.0,4.3,No,3,Cash
SRV-00147,2025-05-26,May,Nashik,College Road Auto Care,Virtus,4.4,61634,Repair,Air Conditioning,Out of Warranty,13970,3430,20530,18.1,4.7,No,3,Credit Card
SRV-00148,2025-06-17,Jun,Mumbai,Andheri Service Hub,Virtus,2.8,33712,Repair,Electrical,Under Warranty,3980,2880,8090,18.1,4.8,No,5,UPI
SRV-00149,2025-10-19,Oct,Pune,Hadapsar Workshop,Virtus,2.9,56515,Repair,Engine,Under Warranty,5770,3550,11000,22.4,3.2,Yes,3,Cash
SRV-00150,2025-09-21,Sep,Mumbai,Thane Auto Care,Virtus,1.4,22943,Scheduled Maintenance,General Service,Under Warranty,800,1750,3010,1.0,4.6,No,18,UPI
SRV-00151,2025-07-17,Jul,Nagpur,Wardha Road Auto Care,Taigun,1.9,14530,Inspection,General Service,Under Warranty,330,1130,1720,5.1,4.9,No,5,UPI
