vehicle_id,vehicle_age_years,mileage_km,service_gap_months,engine_alerts,brake_wear_percent,avg_monthly_distance_km,warranty_claims,customer_complaints,repair_cost_last_year,battery_voltage,driving_pattern,fuel_type,region,transmission,service_center_type,service_risk
VH100057,4.8,47098,6.0,1,54.5,1220,1,0,10591.0,Low,City,CNG,East,Manual,Independent,Low Risk
VH100058,9.5,130388,22.0,2,91.1,1017,3,1,6707.0,Normal,Mixed,Petrol,East,Manual,Independent,High Risk
VH100059,3.2,38565,5.0,1,26.4,375,0,0,2594.0,Normal,City,Diesel,North,Automatic,Authorized,Low Risk
VH100060,8.1,95060,,2,75.7,1193,0,1,10294.0,Normal,Mixed,Diesel,West,Manual,Authorized,High Risk
VH100061,1.0,24561,4.0,0,52.3,2209,1,0,10130.0,Normal,Highway,Diesel,West,Manual,Authorized,Low Risk
VH100062,4.6,61172,11.0,0,45.6,360,0,1,4638.0,Low,Mixed,Petrol,West,Automatic,Authorized,Low Risk
VH100063,5.9,89859,7.0,1,70.0,1237,1,2,10444.0,Normal,City,Diesel,East,Manual,Independent,Low Risk
VH100064,7.1,71898,13.0,1,49.2,1221,1,1,10351.0,Normal,Mixed,Petrol,North,Automatic,Authorized,High Risk
VH100065,7.4,73307,10.0,5,55.7,1400,2,1,15550.0,Normal,City,Petrol,West,Automatic,Authorized,High Risk
VH100066,7.6,83949,12.0,2,44.1,749,1,1,10765.0,Normal,Highway,Petrol,South,Manual,Authorized,High Risk
VH100067,4.6,48012,4.0,1,40.7,509,0,0,3050.0,Low,Mixed,Diesel,South,Manual,Authorized,Low Risk
VH100068,4.3,60141,2.0,2,47.9,533,3,1,0.0,Normal,City,Petrol,North,Manual,Independent,High Risk
VH100069,7.8,133435,3.0,2,98.0,1942,0,2,15122.0,Normal,Mixed,Petrol,East,Manual,Authorized,Low Risk
VH100070,5.0,34950,3.0,0,13.7,739,0,2,4027.0,Normal,Mixed,CNG,North,Automatic,Independent,Low Risk
VH100071,2.1,35821,4.0,2,30.8,990,0,1,0.0,Normal,Mixed,Diesel,West,Manual,Authorized,Low Risk
VH100072,2.4,31071,5.0,0,45.4,2344,0,1,5061.0,Normal,City,CNG,East,Manual,Independent,Low Risk
VH100073,3.0,22574,5.0,2,23.9,868,0,1,8040.0,Normal,City,Diesel,West,Automatic,Authorized,Low Risk
VH100074,6.8,93275,,4,63.9,1428,0,1,15077.0,Normal,City,Petrol,East,Automatic,Authorized,High Risk
VH100075,5.9,67969,4.0,3,42.6,1803,0,3,14130.0,Normal,Highway,Diesel,South,Automatic,Authorized,Low Risk
VH100076,7.4,61585,4.0,2,38.0,1778,1,1,7719.0,Low,City,Petrol,East,Automatic,Authorized,Low Risk
VH100077,4.3,53943,6.0,4,23.9,558,0,3,7570.0,Normal,,Electric,West,Manual,Independent,Low Risk
VH100078,5.9,68732,14.0,3,45.3,879,2,1,9540.0,Low,Mixed,Petrol,North,Manual,Independent,Low Risk
VH100079,7.2,39486,6.0,3,25.1,1407,2,2,14359.0,Normal,City,CNG,East,Manual,Authorized,Low Risk
VH100080,4.7,74016,7.0,1,56.4,2253,0,2,252.0,Low,Mixed,Diesel,East,Automatic,Authorized,High Risk
VH100081,6.7,96951,8.0,0,59.2,854,0,0,7940.0,Normal,City,CNG,East,Manual,Authorized,High Risk
VH100082,3.7,32751,4.0,2,,993,1,2,10313.0,Normal,City,Petrol,West,Automatic,,High Risk
VH100083,4.5,64469,6.0,0,44.8,1468,2,0,8401.0,Low,City,Diesel,South,Automatic,Authorized,Low Risk
VH100084,4.5,43227,5.0,1,37.5,1572,3,0,9067.0,Normal,Mixed,Petrol,North,Manual,Authorized,Low Risk
VH100085,2.3,22940,13.0,1,20.9,1604,0,0,8222.0,Normal,Mixed,CNG,North,Automatic,Authorized,Low Risk
VH100086,6.8,67781,12.0,1,40.0,810,3,0,79.0,Normal,City,Petrol,North,Manual,Independent,Low Risk
VH100087,4.2,17075,4.0,1,24.4,973,0,0,11693.0,Normal,City,Petrol,South,Automatic,,Low Risk
VH100088,5.5,70717,7.0,3,65.0,1362,1,0,11257.0,Normal,City,Diesel,North,Manual,Independent,Low Risk
VH100089,6.8,71290,11.0,2,55.0,1906,1,0,14391.0,Normal,Highway,Diesel,West,Automatic,Independent,High Risk
VH100090,6.7,87394,9.0,4,55.8,1126,0,2,8771.0,Normal,City,CNG,South,Automatic,Authorized,Low Risk
VH100091,7.3,81591,10.0,0,58.0,1238,0,1,2458.0,Normal,Mixed,Diesel,East,Manual,Authorized,Low Risk
VH100092,5.2,40821,4.0,3,14.1,717,1,2,15646.0,Normal,Mixed,Petrol,North,Automatic,Authorized,High Risk
VH100093,4.4,63552,19.0,0,47.8,2219,2,0,2495.0,Normal,City,CNG,East,Manual,Independent,Low Risk
VH100094,5.3,48731,5.0,1,36.7,1330,0,0,6525.0,Normal,Mixed,Petrol,East,Manual,Authorized,Low Risk
VH100095,0.9,32121,5.0,2,21.6,1810,0,1,6498.0,Normal,Highway,Diesel,West,Manual,Authorized,Low Risk
VH100096,1.6,9194,3.0,0,10.8,1266,1,1,5413.0,Normal,Highway,Petrol,South,Automatic,Authorized,Low Risk
VH100097,1.9,39765,7.0,3,31.6,1294,0,0,10411.0,Normal,Mixed,Petrol,East,Automatic,Independent,Low Risk
VH100098,2.8,29315,14.0,0,41.2,470,1,1,4735.0,Normal,City,CNG,South,Manual,Independent,Low Risk
VH100099,6.6,128596,9.0,2,97.5,200,0,3,6566.0,Normal,Highway,Electric,West,Automatic,Authorized,High Risk
VH100100,3.1,37643,7.0,0,24.7,1901,1,0,6551.0,Normal,City,Electric,South,Automatic,Independent,Low Risk
VH100101,4.5,44505,12.0,6,33.0,1291,0,3,15362.0,Low,Mixed,Diesel,South,Manual,Authorized,High Risk
VH100102,9.0,130202,14.0,9,80.9,1357,1,4,15042.0,Normal,City,Petrol,South,Automatic,Authorized,High Risk
VH100103,4.5,77931,12.0,1,66.2,600,3,0,11340.0,Low,City,Diesel,West,Manual,Authorized,High Risk
VH100104,7.5,80804,2.0,1,60.5,780,1,0,1541.0,Normal,,Petrol,West,Automatic,Independent,Low Risk
VH100105,3.0,34567,12.0,1,34.2,1802,2,1,8760.0,Low,City,Diesel,South,Manual,Authorized,Low Risk
VH100106,4.9,77047,10.0,3,62.7,2155,2,2,7631.0,Low,City,Petrol,North,Automatic,Authorized,Low Risk
VH100107,2.9,47981,4.0,2,34.1,927,2,2,8868.0,Normal,City,Electric,East,Manual,Authorized,High Risk
VH100108,4.6,61016,10.0,5,62.9,1599,0,1,13523.0,Normal,Mixed,Petrol,North,Manual,Authorized,Low Risk
VH100109,7.8,79366,14.0,4,58.1,1349,2,0,13401.0,Normal,Highway,Petrol,South,Automatic,Authorized,High Risk
VH100110,0.8,5000,5.0,1,8.0,1187,1,0,4913.0,Low,City,CNG,West,Automatic,Authorized,Low Risk
VH100111,6.7,90778,13.0,3,61.9,2213,0,2,11003.0,Low,Mixed,Petrol,East,Automatic,Authorized,High Risk
VH100112,6.1,86079,9.0,3,75.4,1014,0,0,13025.0,Normal,Mixed,Petrol,East,Automatic,Authorized,Low Risk
VH100113,3.9,66144,1.0,4,46.1,1895,1,4,17003.0,Normal,City,Diesel,North,Automatic,Authorized,Low Risk
VH100114,1.6,28864,7.0,2,40.5,1448,1,0,1148.0,Normal,Highway,Electric,West,Manual,Authorized,Low Risk
VH100115,5.7,65521,9.0,1,43.5,1241,0,1,0.0,Normal,City,Petrol,East,Manual,Authorized,Low Risk
VH100116,4.1,64505,6.0,3,41.4,1963,3,2,7610.0,,Highway,Petrol,South,Manual,Authorized,High Risk
VH100117,6.1,109803,9.0,2,82.3,1401,0,1,7941.0,Normal,Mixed,Petrol,South,Manual,Authorized,High Risk
VH100118,5.6,45427,7.0,3,29.6,1200,3,2,9082.0,Normal,City,Diesel,North,Automatic,Independent,Low Risk
VH100119,9.8,120738,25.0,7,90.1,1967,1,2,16105.0,Normal,Highway,Petrol,East,Manual,Authorized,High Risk
VH100120,4.9,38946,6.0,3,39.5,1900,2,2,12452.0,Normal,City,Diesel,South,Manual,Authorized,Low Risk
VH100121,2.7,41005,4.0,3,27.2,1875,0,2,3260.0,Normal,Highway,Diesel,North,Manual,Authorized,High Risk
VH100122,6.0,77683,12.0,3,56.4,200,1,2,,Normal,City,Electric,North,Automatic,Authorized,High Risk
VH100123,6.1,94503,6.0,1,60.5,1479,1,1,10283.0,Normal,Mixed,Diesel,West,Manual,Independent,High Risk
VH100124,9.2,145881,7.0,3,98.0,1360,2,0,14543.0,Normal,Highway,Diesel,South,Manual,Authorized,High Risk
VH100125,7.8,103621,7.0,3,92.3,1232,0,1,13829.0,Normal,City,Diesel,East,Automatic,Authorized,High Risk
VH100126,6.5,104297,12.0,0,67.9,1567,0,0,10388.0,Normal,,Petrol,North,Manual,Authorized,High Risk
VH100127,9.5,67058,3.0,3,57.1,1385,2,2,13971.0,Normal,City,Petrol,West,Automatic,Authorized,Low Risk
VH100128,2.3,41705,13.0,1,37.4,1602,0,1,3711.0,Normal,Highway,Diesel,West,Manual,Independent,High Risk
VH100129,3.8,42790,10.0,1,38.0,1111,0,1,7726.0,Normal,Highway,Petrol,West,Automatic,Independent,Low Risk
VH100130,3.0,49004,20.0,2,39.4,2029,1,0,8621.0,Normal,,Petrol,East,Manual,Authorized,Low Risk
VH100131,4.4,50007,8.0,1,32.4,1655,1,5,9557.0,Normal,City,Petrol,South,Manual,Authorized,Low Risk
VH100132,1.8,11694,4.0,1,24.2,1532,0,0,0.0,Normal,City,Petrol,North,Manual,Authorized,Low Risk
VH100133,7.2,92987,8.0,2,62.5,1507,0,2,9893.0,Low,Mixed,Petrol,West,Automatic,Authorized,Low Risk
VH100134,4.9,54198,9.0,1,34.2,1852,0,0,3751.0,Normal,Mixed,Diesel,West,Automatic,Authorized,Low Risk
VH100135,1.5,13935,15.0,3,32.9,1781,1,1,8395.0,Low,City,CNG,South,Manual,Authorized,High Risk
VH100136,2.8,29610,4.0,1,31.5,1191,0,1,7595.0,Normal,City,Petrol,West,Automatic,Authorized,Low Risk
VH100137,6.3,67095,2.0,2,48.8,1765,1,0,8792.0,Normal,Mixed,CNG,North,Manual,Authorized,Low Risk
VH100138,7.8,126693,9.0,4,98.0,1341,1,0,11186.0,Normal,City,Petrol,East,Automatic,Authorized,Low Risk
VH100139,10.9,142369,21.0,3,72.9,2247,0,2,16970.0,Normal,City,Electric,South,Automatic,Authorized,High Risk
VH100140,13.4,182914,11.0,5,98.0,1821,0,4,19384.0,Normal,Highway,Diesel,South,Manual,Independent,High Risk
VH100141,6.6,58087,12.0,2,36.6,925,1,3,14505.0,Normal,,Diesel,West,Manual,Authorized,High Risk
VH100142,2.8,71589,3.0,3,56.1,2462,2,2,13443.0,Normal,Mixed,Diesel,North,Automatic,Independent,High Risk
VH100143,0.5,5000,8.0,2,10.3,200,0,2,7652.0,Normal,City,Diesel,East,Automatic,Authorized,Low Risk
VH100144,6.2,89553,15.0,4,53.6,1581,0,2,,Normal,Mixed,Petrol,South,Automatic,Authorized,High Risk
VH100145,3.3,25549,9.0,1,42.6,888,0,0,11562.0,Low,City,Petrol,South,Manual,Authorized,Low Risk
VH100146,4.4,59637,2.0,2,67.6,2229,1,0,8730.0,Low,City,Electric,South,Automatic,Authorized,Low Risk
VH100147,3.8,55650,8.0,1,42.5,1381,2,1,4637.0,Normal,City,CNG,West,Manual,Independent,High Risk
VH100148,5.1,76216,11.0,3,60.0,837,0,2,7679.0,Normal,Mixed,Diesel,South,Automatic,Independent,High Risk
VH100149,8.4,121092,7.0,2,81.9,1111,1,0,9309.0,Normal,Highway,CNG,West,Automatic,Authorized,High Risk
VH100150,5.9,66961,4.0,4,70.2,879,0,3,11790.0,Normal,City,Petrol,West,Automatic,Authorized,High Risk
VH100151,5.1,60783,13.0,3,24.5,1091,1,2,11322.0,Low,Mixed,Diesel,North,Automatic,Authorized,High Risk
VH100152,2.7,31656,6.0,1,35.7,1079,1,2,651.0,Normal,City,Diesel,West,Automatic,Independent,Low Risk
VH100153,1.0,18337,10.0,1,16.2,859,0,0,2213.0,Normal,City,Petrol,West,Manual,Authorized,Low Risk
VH100154,4.2,47301,8.0,1,14.4,1390,2,1,7211.0,Normal,City,Electric,West,Automatic,Independent,High Risk
VH100155,5.4,57873,6.0,3,42.2,1453,1,3,12170.0,Normal,Mixed,CNG,North,Manual,Authorized,Low Risk
VH100156,10.3,83082,22.0,4,80.5,732,1,4,15687.0,,City,Electric,East,Manual,Authorized,High Risk
VH100157,5.9,108411,5.0,1,67.0,388,0,0,8842.0,Normal,City,Diesel,East,Manual,Authorized,Low Risk
VH100158,8.2,66412,8.0,3,59.6,1412,1,1,8667.0,Normal,Mixed,Petrol,West,Manual,Independent,Low Risk
VH100159,4.2,43736,7.0,2,51.5,1527,2,1,4862.0,Normal,Highway,Diesel,West,Manual,Independent,Low Risk
VH100160,2.3,21750,8.0,0,25.9,1630,0,1,3375.0,Low,City,Petrol,East,Manual,Authorized,Low Risk
VH100161,2.9,51604,21.0,2,44.0,1537,3,0,8244.0,Normal,Highway,CNG,West,Manual,Authorized,High Risk
VH100162,3.5,40907,11.0,3,17.8,2068,0,1,9140.0,Normal,City,Petrol,South,Manual,Authorized,Low Risk
VH100163,11.2,143458,5.0,4,85.8,1768,0,0,,Normal,Highway,CNG,West,Manual,Authorized,High Risk
VH100164,3.3,62342,17.0,2,58.6,2644,0,2,6213.0,Normal,City,Diesel,South,Automatic,Independent,High Risk
VH100165,7.8,111780,12.0,1,76.8,2862,2,1,14608.0,Low,Highway,Petrol,West,Manual,Authorized,High Risk
VH100166,3.1,37531,6.0,2,38.9,336,1,0,8532.0,Low,Mixed,Petrol,South,Automatic,Independent,Low Risk
VH100167,8.0,94484,16.0,2,68.0,200,1,1,10680.0,Low,City,Diesel,North,Automatic,Authorized,High Risk
VH100168,6.5,74464,3.0,3,79.5,1246,0,1,7817.0,Low,City,Petrol,West,Automatic,Independent,Low Risk
VH100169,5.1,56963,3.0,3,40.9,1512,0,3,,Normal,City,CNG,North,Manual,Independent,Low Risk
VH100170,5.4,45750,2.0,0,57.1,1211,2,2,6381.0,Low,Mixed,Petrol,North,Manual,Authorized,High Risk
VH100171,3.7,57196,1.0,4,47.2,1616,0,3,10713.0,Normal,Mixed,Petrol,East,Manual,Independent,Low Risk
VH100172,6.7,66699,15.0,3,69.7,1109,1,1,13090.0,Normal,Mixed,Petrol,North,Manual,Authorized,High Risk
VH100173,4.3,65830,9.0,1,37.1,889,1,3,7862.0,Normal,Mixed,Petrol,West,Automatic,Independent,Low Risk
VH100174,2.2,30210,2.0,0,32.8,968,2,0,2295.0,Normal,Mixed,Petrol,South,Manual,Authorized,Low Risk
VH100175,2.0,32499,7.0,2,27.7,1146,1,1,4164.0,Low,Mixed,CNG,West,Automatic,Authorized,Low Risk
VH100176,6.0,33338,13.0,2,34.1,1689,2,1,15950.0,Normal,Highway,Diesel,East,Manual,Authorized,High Risk
VH100177,9.8,154275,4.0,4,98.0,997,1,1,13539.0,Normal,City,Electric,East,Automatic,Independent,High Risk
VH100178,5.9,80645,6.0,1,63.0,1100,3,1,3927.0,Normal,Highway,Petrol,West,Manual,Independent,High Risk
VH100179,5.2,63215,23.0,4,62.5,1547,1,1,5936.0,Normal,City,Petrol,South,Automatic,Authorized,High Risk
VH100180,6.3,78864,6.0,1,50.4,1147,0,2,7290.0,Normal,City,Petrol,South,Automatic,Independent,High Risk
VH100181,9.0,70579,2.0,1,44.2,1831,1,1,13858.0,Normal,,Diesel,West,Manual,Independent,Low Risk
VH100182,6.1,45385,5.0,1,39.4,772,0,2,6397.0,Normal,City,Petrol,South,Manual,Independent,Low Risk
VH100183,4.4,41725,2.0,3,36.8,659,0,1,13938.0,Normal,Mixed,Petrol,North,Automatic,Authorized,High Risk
VH100184,8.5,136480,11.0,4,87.8,1408,2,2,14127.0,Low,City,Diesel,North,Manual,Authorized,High Risk
VH100185,6.7,81486,4.0,0,48.7,1460,0,1,11081.0,Low,City,Petrol,South,Manual,Authorized,Low Risk
VH100186,9.6,119089,4.0,7,,800,1,3,16465.0,Normal,Mixed,Diesel,South,Automatic,Independent,High Risk
VH100187,6.0,56779,24.0,1,41.6,1949,3,0,5775.0,Normal,Highway,Diesel,South,Automatic,Authorized,High Risk
VH100188,2.2,20799,3.0,2,41.2,2251,2,0,6271.0,Normal,City,Diesel,North,Manual,Independent,Low Risk
VH100189,1.8,17984,3.0,1,24.1,924,1,0,5914.0,Normal,,Petrol,South,Manual,Independent,Low Risk
VH100190,10.0,130098,4.0,5,93.4,2023,2,1,16177.0,Normal,City,Diesel,North,Manual,,High Risk
VH100191,10.2,99311,13.0,1,75.3,200,1,1,12866.0,Low,Mixed,Petrol,South,Automatic,Independent,Low Risk
VH100192,5.0,35376,10.0,1,24.6,1810,0,0,,Normal,City,Petrol,West,Manual,Authorized,Low Risk
VH100193,4.5,42896,5.0,2,41.9,804,1,0,3504.0,Low,Mixed,Petrol,North,Manual,Authorized,Low Risk
VH100194,9.4,93014,5.0,3,86.9,1758,1,0,12619.0,,City,Petrol,North,Manual,Authorized,High Risk
VH100195,2.5,22794,10.0,3,29.4,750,2,1,5840.0,Normal,Mixed,Diesel,West,Automatic,Independent,Low Risk
VH100196,3.1,53319,9.0,0,53.5,1214,3,0,2786.0,Normal,City,Diesel,West,Manual,Independent,High Risk
VH100197,7.2,67967,7.0,2,59.4,829,0,1,11782.0,Normal,Highway,CNG,North,Automatic,Independent,Low Risk
VH100198,4.4,76760,11.0,1,60.0,1139,0,0,5095.0,Normal,City,Petrol,West,Manual,Authorized,Low Risk
VH100199,5.5,58040,3.0,1,48.3,2202,0,1,1284.0,Low,City,Petrol,North,Automatic,Authorized,Low Risk
VH100200,5.1,61538,4.0,5,54.2,1194,2,0,11583.0,Normal,Mixed,Petrol,North,Manual,Independent,High Risk
VH100201,6.4,57086,11.0,0,54.1,2347,1,4,3854.0,Normal,Mixed,Electric,South,Automatic,Independent,High Risk
VH100202,9.3,118495,9.0,1,65.0,1049,1,1,12708.0,Normal,City,Petrol,East,Automatic,Independent,Low Risk
VH100203,5.7,69736,1.0,4,55.5,2026,0,2,14208.0,Low,Mixed,Petrol,East,Manual,Independent,High Risk
VH100204,7.2,63641,8.0,0,47.3,405,1,0,1021.0,Normal,City,Petrol,East,Manual,Independent,Low Risk
VH100205,0.5,11241,23.0,1,15.9,1101,1,1,,Normal,Mixed,CNG,East,Automatic,Authorized,Low Risk
VH100206,5.4,87363,12.0,4,76.8,971,1,1,12491.0,Normal,City,Diesel,West,Manual,Independent,High Risk
VH100207,3.2,41939,5.0,2,29.2,2050,0,1,2372.0,Normal,City,Petrol,West,Automatic,Authorized,Low Risk
VH100208,2.2,32340,4.0,1,16.6,1346,0,1,7235.0,Low,City,Diesel,West,Automatic,Independent,Low Risk
VH100209,3.1,57287,9.0,1,54.6,200,0,0,8898.0,Low,City,Diesel,West,Manual,Authorized,Low Risk
VH100210,4.6,49734,15.0,2,26.0,569,0,1,7622.0,Normal,Mixed,Diesel,East,Manual,Independent,Low Risk
VH100211,8.0,89764,2.0,2,42.7,723,0,0,8723.0,Low,City,Electric,East,Manual,Authorized,Low Risk
VH100212,1.9,13128,9.0,2,31.3,1736,3,1,0.0,Normal,City,CNG,South,Automatic,Authorized,Low Risk
VH100213,5.6,86002,6.0,3,63.5,1669,1,2,12895.0,Normal,Mixed,Diesel,East,Manual,Authorized,High Risk
VH100214,4.2,40130,9.0,0,41.5,1094,0,3,11688.0,Normal,City,Electric,South,Automatic,Independent,High Risk
VH100215,4.6,57973,3.0,0,41.3,965,0,2,11386.0,Normal,City,CNG,North,Manual,Independent,Low Risk
VH100216,8.2,110017,15.0,4,59.9,1623,2,0,13256.0,Normal,Highway,Petrol,West,Automatic,Independent,High Risk
VH100217,7.0,63617,18.0,2,36.3,663,2,1,6803.0,Normal,City,CNG,East,Manual,Authorized,High Risk
VH100218,9.1,115981,11.0,2,75.4,1488,1,1,14870.0,Low,Mixed,Diesel,South,Manual,Authorized,High Risk
VH100219,5.1,95437,20.0,5,53.0,1444,0,2,11934.0,Normal,Highway,Diesel,North,Manual,Independent,High Risk
VH100220,3.6,44938,,2,42.3,1107,1,0,8770.0,Normal,City,Diesel,West,Manual,Independent,Low Risk
VH100221,4.9,88750,9.0,2,,1457,1,3,9379.0,Normal,City,CNG,South,Manual,Independent,High Risk
VH100222,6.2,58508,12.0,3,48.5,1303,1,3,11128.0,Low,City,Electric,South,Automatic,Authorized,High Risk
VH100223,6.0,47578,10.0,2,42.1,1509,3,1,12691.0,Normal,Highway,Petrol,North,Manual,Independent,Low Risk
